iter	Passed	Remaining
616	31514	19562
617	31563	19509
618	31609	19456
619	31658	19403
620	31705	19350
621	31753	19297
622	31801	19244
623	31848	19190
624	31897	19138
625	31946	19086
626	31994	19033
627	32041	18980
628	32089	18927
629	32141	18876
630	32188	18823
631	32236	18770
632	32284	18718
633	32332	18665
634	32380	18612
635	32428	18559
636	32475	18506
637	32525	18454
638	32573	18402
639	32621	18349
640	32668	18296
641	32717	18244
642	32764	18191
643	32811	18138
644	32859	18085
645	32906	18032
646	32954	17979
647	33003	17927
648	33052	17875
649	33105	17826
650	33153	17773
651	33201	17720
652	33246	17667
653	33296	17615
654	33344	17563
655	33391	17510
656	33438	17457
657	33486	17404
658	33533	17352
659	33585	17301
660	33633	17249
661	33680	17196
662	33729	17144
663	33777	17092
664	33825	17039
665	33873	16987
666	33924	16936
667	33971	16884
668	34019	16831
669	34067	16779
670	34120	16729
671	34170	16678
672	34217	16625
673	34266	16573
674	34314	16521
675	34362	16469
676	34408	16416
677	34455	16363
678	34502	16311
679	34551	16259
680	34599	16207
681	34648	16155
682	34695	16103
683	34742	16050
684	34791	15999
685	34838	15946
686	34886	15894
687	34937	15843
688	34984	15791
689	35032	15739
690	35088	15690
691	35137	15639
692	35185	15587
693	35233	15535
694	35284	15484
695	35330	15431
696	35378	15379
697	35425	15327
698	35472	15275
699	35519	15222
700	35575	15174
701	35624	15122
702	35671	15070
703	35718	15018
704	35765	14965
705	35813	14913
706	35861	14862
707	35909	14810
708	35959	14759
709	36007	14707
710	36055	14655
711	36109	14605
712	36158	14554
713	36206	14502
714	36252	14450
715	36300	14398
716	36347	14346
717	36394	14294
718	36442	14242
719	36489	14190
720	36546	14142
721	36596	14091
722	36646	14040
723	36696	13989
724	36755	13941
725	36805	13890
726	36854	13839
727	36903	13788
728	36960	13739
729	37010	13688
730	37064	13639
731	37117	13589
732	37167	13538
733	37214	13486
734	37261	13434
735	37318	13386
736	37365	13334
737	37413	13282
738	37462	13230
739	37519	13182
740	37569	13131
741	37619	13080
742	37667	13028
743	37715	12977
744	37763	12925
745	37812	12874
746	37860	12822
747	37909	12771
748	37960	12721
749	38007	12669
750	38062	12620
751	38115	12569
752	38162	12518
753	38210	12466
754	38263	12416
755	38312	12365
756	38361	12314
757	38410	12263
758	38457	12211
759	38505	12159
760	38554	12108
761	38604	12057
762	38652	12006
763	38700	11954
764	38748	11903
765	38796	11851
